User,Date & Time,File name,Star ID,Line,Model_Type,Orig_Trough_Wavelength,Orig_Trough_Flux,Fit_Trough_Wavelength,Fit_Trough_Flux,Fit_Center,Amplitude,Stddev,S/N
Abdullah,2025-07-22 15:18:51.649347,stacked_M3_101.fits,101.,Blue,Gaussian,8493.382096875197,-0.27824551943642883,8493.893802560815,-0.3008295319703502,8493.93604378339,-0.3009368429210087,1.581606418200413,8.46551402855315
Abdullah,2025-07-22 15:18:51.649347,stacked_M3_101.fits,101.,Center,Gaussian,8537.90302776471,-0.5292327418241715,8537.84617157742,-0.514185140003092,8537.799227582707,-0.5143141060844018,2.0961110304013553,16.101704743913317
Abdullah,2025-07-22 15:18:51.649347,stacked_M3_101.fits,101.,Red,Gaussian,8658.621991493757,-0.42451353879737397,8657.769148684392,-0.4403988888490166,8657.773635135112,-0.4404002570593617,1.7998442029148438,12.91566284797256
Abdullah,2025-07-22 15:19:10.723614,stacked_M3_102.fits,102.,Blue,Gaussian,8494.555883547206,-0.29945766180857547,8493.816753112424,-0.32325571734148384,8493.826138743498,-0.32326315415530865,1.3836639689072983,8.999780510364921
Abdullah,2025-07-22 15:19:10.723614,stacked_M3_102.fits,102.,Center,Gaussian,8537.946678948798,-0.5382729267576079,8538.11724751067,-0.5180339455552198,8538.152710674292,-0.518105945243201,2.127116956816011,16.177038738073385
Abdullah,2025-07-22 15:19:10.723614,stacked_M3_102.fits,102.,Red,Gaussian,8658.39972545527,-0.4396610800454537,8658.115444518815,-0.4635904551958704,8658.145363691676,-0.46366727735596214,1.643525933762217,13.213397832139737
Abdullah,2025-07-22 15:19:28.972750,stacked_M3_102.fits,102.,Blue,Gaussian,8494.555883547206,-0.29945766180857547,8493.816753112424,-0.32325571734148384,8493.826138743498,-0.32326315415530865,1.3836639689072983,8.999780510364921
Abdullah,2025-07-22 15:19:28.972750,stacked_M3_102.fits,102.,Center,Gaussian,8537.946678948798,-0.5382729267576079,8538.11724751067,-0.5180339455552198,8538.152710674292,-0.518105945243201,2.127116956816011,16.177038738073385
Abdullah,2025-07-22 15:19:28.972750,stacked_M3_102.fits,102.,Red,Gaussian,8658.39972545527,-0.4396610800454537,8658.115444518815,-0.4635904551958704,8658.145363691676,-0.46366727735596214,1.643525933762217,13.213397832139737
Abdullah,2025-07-22 15:19:41.631067,stacked_M3_107.fits,107.,Blue,Gaussian,8493.986470532664,-0.28022289942905143,8493.929614345372,-0.2908190255641828,8493.967082245455,-0.2909375531341244,1.3124728129422225,8.025279715637131
Abdullah,2025-07-22 15:19:41.631067,stacked_M3_107.fits,107.,Center,Gaussian,8538.697490192326,-0.4748641734829878,8537.958359757544,-0.46957905188395827,8537.999127517951,-0.46967234741365493,2.045254540921323,13.599594561688152
Abdullah,2025-07-22 15:19:41.631067,stacked_M3_107.fits,107.,Red,Gaussian,8657.883878761186,-0.3875032839153101,8658.054447323058,-0.4195350396365507,8658.005994686859,-0.4196933094799036,1.764121120463331,11.0976734966504
Abdullah,2025-07-22 15:21:08.583072,stacked_M3_106.fits,106.,Blue,Gaussian,8494.372102555,-0.30823888762205054,8494.201533993128,-0.32102446576425386,8494.147759440606,-0.3213090058411557,1.2774836477466003,11.033616052455406
Abdullah,2025-07-22 15:21:08.583072,stacked_M3_106.fits,106.,Center,Gaussian,8537.892138061876,-0.5062667204659037,8538.176418998331,-0.5193675123952077,8538.194563216119,-0.5193908655116427,1.91334418963282,18.122154076178106
Abdullah,2025-07-22 15:21:08.583072,stacked_M3_106.fits,106.,Red,Gaussian,8657.700627704979,-0.4435998606863554,8658.212333390597,-0.46639631215212046,8658.158092787891,-0.4665927048386993,1.8692617439117196,15.878952138373252
