User,Date & Time,File name,Star ID,Line,Model_Type,Orig_Trough_Wavelength,Orig_Trough_Flux,Fit_Trough_Wavelength,Fit_Trough_Flux,Fit_Center,Amplitude,Stddev,S/N
Abdullah,2025-07-24 10:38:57.854324,stacked_M3_101.fits,101.,Blue,Gaussian,8493.382096875197,-0.26430653115446334,8493.893802560815,-0.28385832245722087,8493.882223982779,-0.2838660915521413,1.56498004020171,7.88703365638571
Abdullah,2025-07-24 10:38:57.854324,stacked_M3_101.fits,101.,Center,Gaussian,8537.90302776471,-0.5332669642446917,8537.84617157742,-0.521046376696736,8537.818229932236,-0.5210916705549921,2.1191658424625417,15.912941978639763
Abdullah,2025-07-24 10:38:57.854324,stacked_M3_101.fits,101.,Red,Gaussian,8657.564022481685,-0.40988351924821553,8657.734591043558,-0.43737519598393354,8657.742323758524,-0.4373794548104446,1.752266515700995,12.231120802759262
Abdullah,2025-07-24 10:39:07.852849,stacked_M3_102.fits,102.,Blue,Gaussian,8494.555883547206,-0.30731338563005806,8493.816753112424,-0.33207860472304035,8493.84114645075,-0.33213238793596217,1.3554106734879985,9.270908969840297
Abdullah,2025-07-24 10:39:07.852849,stacked_M3_102.fits,102.,Center,Gaussian,8537.946678948798,-0.5341325730418429,8538.11724751067,-0.5161019996397663,8538.16258517897,-0.5162179581225103,2.13887342192643,16.113500726123785
Abdullah,2025-07-24 10:39:07.852849,stacked_M3_102.fits,102.,Red,Gaussian,8658.39972545527,-0.4362167078677729,8658.115444518815,-0.4553020991542751,8658.135213243953,-0.45533513629150224,1.6410437743324287,13.159613537413021
Abdullah,2025-07-24 10:39:17.353443,stacked_M3_106.fits,106.,Blue,Gaussian,8494.372102555,-0.3107804151816371,8494.201533993128,-0.32436956429611535,8494.171627319936,-0.32445009426664057,1.3422126825141754,10.949923538535478
Abdullah,2025-07-24 10:39:17.353443,stacked_M3_106.fits,106.,Center,Gaussian,8538.953321161396,-0.5147440879457817,8538.214190726614,-0.5283339485436181,8538.190149240958,-0.5283761221279887,1.9027817273638739,18.13630502303456
Abdullah,2025-07-24 10:39:17.353443,stacked_M3_106.fits,106.,Red,Gaussian,8657.700627704979,-0.4499264190016793,8658.212333390597,-0.4745989027068249,8658.176015226642,-0.4746948324743388,1.806414871164702,15.852542970431562
Abdullah,2025-07-24 10:39:26.252069,stacked_M3_107.fits,107.,Blue,Gaussian,8493.986470532664,-0.3114707157240232,8493.929614345372,-0.31684410762447485,8493.962218231356,-0.31695836740339045,1.214142449519288,9.462058448314282
Abdullah,2025-07-24 10:39:26.252069,stacked_M3_107.fits,107.,Center,Gaussian,8538.697490192326,-0.4516183336992776,8537.958359757544,-0.45023643763574683,8537.939736477532,-0.450252811220306,2.1837029460652193,13.71955324872065
Abdullah,2025-07-24 10:39:26.252069,stacked_M3_107.fits,107.,Red,Gaussian,8658.947584862448,-0.3879906993698794,8658.208454427666,-0.40598590378918503,8658.175127490313,-0.4060547002772163,1.8103858537521966,11.786631903119172
